patient_id,stromal,neoplastic,inflammatory,benign epithelial,necrotic,no label
TCGA-J4-A83L-01Z-00-DX1,261176,166811,49862,30327,4242,2803
TCGA-EJ-5505-01Z-00-DX1,230898,488957,35919,36936,9407,6959
TCGA-G9-7525-01Z-00-DX1,181375,235191,19185,11436,4941,2548
TCGA-HC-7230-01Z-00-DX1,90285,121040,7149,14138,2144,1755
TCGA-G9-6373-01Z-00-DX1,49826,1195,6063,1750,1233,213
TCGA-HC-8212-01Z-00-DX1,55726,82848,6060,3143,4523,2829
TCGA-EJ-7785-01Z-00-DX1,364634,577720,42295,43179,12350,6652
TCGA-HC-A48F-01Z-00-DX1,38704,59270,1819,2348,2352,1544
TCGA-2A-A8W1-01Z-00-DX1,144298,174154,68897,62058,2396,2391
TCGA-HC-7079-01Z-00-DX1,71698,120774,19712,23983,4821,5191
TCGA-J4-8198-01Z-00-DX1,232139,351636,35417,10007,5927,2631
TCGA-X4-A8KS-01Z-00-DX2,109266,15154,13885,16031,1521,433
TCGA-EJ-5531-01Z-00-DX1,111245,169307,37655,26748,4829,4648
TCGA-M7-A71Z-01Z-00-DX1,167947,470205,35458,22913,3161,4250
TCGA-HC-8256-01Z-00-DX1,147850,162736,17178,9286,2633,3304
TCGA-EJ-A46B-01Z-00-DX1,234060,340640,37264,20361,7474,2916
TCGA-CH-5762-01Z-00-DX1,149020,105317,30045,3452,5212,4281
TCGA-EJ-A46D-01Z-00-DX1,234130,156766,47781,40959,3566,1373
TCGA-V1-A9O5-01Z-00-DX1,205513,87295,58376,41789,3687,2238
TCGA-G9-7519-01Z-00-DX1,123027,27223,23434,8550,4825,562
TCGA-M7-A723-01Z-00-DX1,357263,174954,72288,17216,3631,1888
TCGA-EJ-7321-01Z-00-DX1,240927,403186,107016,42695,13196,4075
TCGA-X4-A8KS-01Z-00-DX4,107413,67672,20410,8488,2017,1201
TCGA-H9-7775-01Z-00-DX1,2153,1117,280,215,23,10
TCGA-FC-A66V-01Z-00-DX1,6330,10007,370,830,113,219
TCGA-G9-6494-01Z-00-DX1,189233,69856,31685,8419,4042,1694
TCGA-XK-AAK1-01Z-00-DX1,25612,35226,4229,2964,969,793
TCGA-V1-A8MG-01Z-00-DX1,133162,45262,18177,4929,1818,663
TCGA-V1-A8MM-01Z-00-DX1,633248,312052,76680,40951,4759,2997
TCGA-G9-7523-01Z-00-DX1,215152,60549,26651,5459,1552,811
TCGA-CH-5764-01Z-00-DX1,95587,27698,11731,1963,5008,1662
TCGA-G9-6379-01Z-00-DX1,88651,47106,20294,5460,1841,728
TCGA-J4-A83J-01Z-00-DX1,286990,262830,60154,7593,7278,6086
TCGA-G9-6356-01Z-00-DX1,270239,544271,24280,12874,9390,6518
TCGA-HC-7819-01Z-00-DX1,38694,79049,3312,4460,2665,1002
TCGA-XK-AAJU-01Z-00-DX1,162217,182730,19923,14890,2570,2802
TCGA-V1-A9ZI-01Z-00-DX1,277040,178853,44970,30705,2255,2811
TCGA-KK-A8IB-01Z-00-DX1,223933,305091,57630,15589,6377,5422
TCGA-G9-6365-01Z-00-DX1,395523,258618,31633,9549,4498,3301
TCGA-X4-A8KQ-01Z-00-DX1,72599,39785,12643,4835,683,1174
TCGA-CH-5744-01Z-00-DX1,102101,87859,26114,5460,5682,2904
TCGA-2A-A8VV-01Z-00-DX1,370648,398009,75677,71014,2206,4306
TCGA-YL-A8S9-01Z-00-DX1,29396,18302,4096,2115,526,218
TCGA-XK-AAJT-01Z-00-DX1,37478,23224,7951,4034,877,526
TCGA-VP-A87C-01Z-00-DX1,340074,183534,46605,31934,8594,4953
TCGA-Y6-A8TL-01Z-00-DX4,74289,14744,2702,634,661,1141
TCGA-HC-A9TH-01Z-00-DX1,48879,73559,10907,6293,2218,1369
TCGA-KK-A6E6-01Z-00-DX1,178946,65916,42683,28588,3098,1135
TCGA-HC-A76W-01Z-00-DX1,51744,66720,11994,9661,2506,1411
TCGA-KK-A59Y-01Z-00-DX1,180018,149230,51075,45273,1977,2338
TCGA-VP-A879-01Z-00-DX1,117422,118549,15454,9120,4351,3851
TCGA-EJ-5532-01Z-00-DX1,173914,333260,48622,41167,6309,2362
TCGA-EJ-5503-01Z-00-DX1,216381,640857,33376,16125,8181,5724
TCGA-HC-7742-01Z-00-DX1,18547,100422,3010,3546,1860,848
TCGA-V1-A9OL-01Z-00-DX1,23355,813,2529,216,495,105
TCGA-KK-A6E5-01Z-00-DX1,201741,167267,41007,25912,4454,2361
TCGA-HI-7168-01Z-00-DX1,166395,21560,177820,25262,11469,4313
TCGA-XQ-A8TA-01Z-00-DX2,299426,610116,65520,4842,8763,17094
TCGA-YL-A8SK-01Z-00-DX3,543281,290409,93895,25866,5216,5127
TCGA-KK-A6E3-01Z-00-DX1,288798,92817,36726,5931,4241,1228
TCGA-XK-AAJA-01Z-00-DX1,134453,225230,22404,4658,7117,2135
TCGA-EJ-5519-01Z-00-DX1,404567,787238,43429,26717,9691,5414
TCGA-Y6-A9XI-01Z-00-DX6,31263,1186,3486,122,1141,296
TCGA-YL-A8SJ-01Z-00-DX3,268016,271624,19959,7781,4518,6677
TCGA-WW-A8ZI-01Z-00-DX2,273581,657761,143280,7614,8980,5888
TCGA-G9-6498-01Z-00-DX1,94334,74237,23156,10063,1207,922
TCGA-HC-A632-01Z-00-DX1,65844,93059,27105,6218,5387,1750
TCGA-Y6-A8TL-01Z-00-DX5,61999,2419,4189,861,480,624
TCGA-CH-5753-01Z-00-DX1,125607,130828,45752,7321,3989,5163
TCGA-KK-A8IK-01Z-00-DX1,311652,539562,47226,11464,4768,4405
TCGA-KK-A7B1-01Z-00-DX1,275014,343148,34395,9556,3817,2944
TCGA-EJ-7791-01Z-00-DX1,196917,158843,42679,9011,7301,1588
TCGA-YL-A8SH-01Z-00-DX4,359969,205174,41357,12435,5564,16041
TCGA-HC-7821-01Z-00-DX1,164696,122508,50635,36523,8318,2776
TCGA-EJ-7327-01Z-00-DX1,453497,494783,87748,60849,12573,7704
TCGA-KK-A7AV-01Z-00-DX1,159936,210820,38721,8782,2216,2929
TCGA-HC-7820-01Z-00-DX1,147153,254691,37939,13326,4219,2846
TCGA-YL-A8SA-01Z-00-DX1,194041,178035,86706,10868,5405,2575
TCGA-WW-A8ZI-01Z-00-DX3,125039,127742,61565,2211,3412,1662
TCGA-HC-A631-01Z-00-DX1,7093,21570,476,498,789,405
TCGA-EJ-7123-01Z-00-DX1,134378,76448,38251,7105,5322,4886
TCGA-EJ-7782-01Z-00-DX1,108413,175433,35704,43243,3070,2467
TCGA-HC-7750-01Z-00-DX1,30350,66998,2295,2623,1535,740
TCGA-EJ-5515-01Z-00-DX1,532588,471293,112078,62911,13374,6373
TCGA-M7-A720-01Z-00-DX1,54947,138123,11412,14487,1356,1959
TCGA-CH-5754-01Z-00-DX1,92087,42934,7349,920,1140,4994
TCGA-G9-6329-01Z-00-DX1,237367,216369,43087,7309,11331,2203
TCGA-EJ-A46H-01Z-00-DX1,190723,314926,28184,14282,4973,2156
TCGA-G9-6499-01Z-00-DX1,298154,124473,43094,13571,5848,2881
TCGA-EJ-A46I-01Z-00-DX1,101474,119138,16266,16818,3603,1261
