patient_id,stromal,neoplastic,inflammatory,benign epithelial,necrotic,no label
TCGA-EJ-5518-01Z-00-DX1,222568,107128,8356,6493,3024,2594
TCGA-KK-A59X-01Z-00-DX1,343160,107667,70565,36651,4462,2060
TCGA-CH-5768-01Z-00-DX1,76390,55326,9189,4031,1593,4288
TCGA-MG-AAMC-01Z-00-DX1,75855,96663,13074,2594,1444,451
TCGA-J4-A67K-01Z-00-DX1,396732,607831,95381,60719,8479,9673
TCGA-M7-A721-01Z-00-DX1,129124,176195,14388,12004,796,2675
TCGA-H9-A6BY-01Z-00-DX1,86588,44057,15807,14673,1075,2122
TCGA-G9-7521-01Z-00-DX1,17671,6830,1675,383,246,65
TCGA-V1-A9Z8-01Z-00-DX1,538556,204667,61452,28890,4792,2117
TCGA-EJ-5498-01Z-00-DX1,474736,441292,30893,21744,8810,5044
TCGA-J4-A83M-01Z-00-DX1,67798,53106,12348,4552,1863,943
TCGA-2A-A8W3-01Z-00-DX1,456335,580521,105477,68029,6317,7227
TCGA-M7-A722-01Z-00-DX1,139613,236415,29548,11152,3548,2796
TCGA-G9-6367-01Z-00-DX1,466422,263744,85410,5853,6999,4215
TCGA-EJ-5504-01Z-00-DX1,662144,356037,59401,9148,7894,12403
TCGA-WW-A8ZI-01Z-00-DX8,135544,84900,16184,3749,1292,1642
TCGA-V1-A8WN-01Z-00-DX1,265920,107452,51638,35052,2567,1351
TCGA-Y6-A8TL-01Z-00-DX2,19935,5657,1204,183,118,333
TCGA-HC-7740-01Z-00-DX1,108821,126002,11122,10671,5344,2504
TCGA-EJ-5526-01Z-00-DX1,591695,714491,81380,53865,11440,5381
TCGA-HC-A6AP-01Z-00-DX1,73355,269595,7076,4410,4303,2123
TCGA-YL-A8HK-01Z-00-DX1,233650,173421,73675,28548,7055,2334
TCGA-EJ-5517-01Z-00-DX1,332677,451393,42855,32582,9259,4706
TCGA-G9-6339-01Z-00-DX1,82161,39622,19517,9891,2486,904
TCGA-EJ-5509-01Z-00-DX1,118989,91712,7628,21285,1628,1207
TCGA-V1-A9ZR-01Z-00-DX1,6156,177,516,463,22,10
TCGA-CH-5740-01Z-00-DX1,176927,346536,46129,19692,4568,11468
TCGA-Y6-A8TL-01Z-00-DX1,5504,3774,301,108,30,189
TCGA-HC-7213-01Z-00-DX1,58894,202348,8689,5237,4961,2070
TCGA-V1-A8MF-01Z-00-DX1,109268,32441,36148,25392,3813,1161
TCGA-J4-A67N-01Z-00-DX1,402534,164693,91884,81118,5988,4363
TCGA-J4-A83I-01Z-00-DX1,282127,202760,71304,31811,6363,3086
TCGA-TP-A8TT-01Z-00-DX1,147480,88617,41017,3969,3000,1860
TCGA-KK-A7AQ-01Z-00-DX1,171538,189128,18997,13622,2140,2060
TCGA-HC-8259-01Z-00-DX1,31866,72894,2570,4928,2260,1196
TCGA-Y6-A9XI-01Z-00-DX1,31603,3324,2127,442,241,343
TCGA-XK-AAJP-01Z-00-DX1,53551,79525,6578,3509,2778,1661
TCGA-VP-A878-01Z-00-DX1,398926,156541,32942,9919,5823,3202
TCGA-G9-6385-01Z-00-DX1,248377,207181,31352,11007,3932,3402
TCGA-EJ-5514-01Z-00-DX1,303203,118080,36307,13333,6275,1701
TCGA-Y6-A9XI-01Z-00-DX3,2246,55,104,8,23,34
TCGA-HC-8216-01Z-00-DX1,30854,47011,9763,10599,2026,1244
TCGA-V1-A9OF-01Z-00-DX1,222873,122396,18517,4864,2188,2880
TCGA-EJ-5508-01Z-00-DX1,444229,380452,55192,39041,6328,6683
TCGA-2A-A8VO-01Z-00-DX1,728906,561078,210544,126003,10303,8801
